latitude,longitude,free_bikes,names,ratings,locations,distances,price,popularity,total_photos,total_ratings
49.287214,-123.11287,23,The Vancouver Club,8.5,"915 Hastings St W (btwn Hornby & Burrard), Vancouver BC V6C 1C6",184,,0.991576710743488,252.0,42.0
49.287214,-123.11287,23,Breka Bakery & Café,8.6,"740 Hastings St W, Vancouver BC V6C 1A3",216,1.0,0.9956365843941491,48.0,10.0
49.287214,-123.11287,23,FlyOver Canada,9.3,"999 Canada Pl Way, Vancouver BC V6C 3E1",276,,0.9980649200356662,230.0,371.0
49.287214,-123.11287,23,Botanist,8.6,"1038 Canada Pl, Vancouver BC V6C 0B9",291,1.0,0.9814270266168352,127.0,69.0
49.287214,-123.11287,23,Vancouver Lookout,8.5,"555 Hastings St W (Harbour Centre), Vancouver BC V6B 4N6",289,,0.9844814175409308,632.0,193.0
49.287214,-123.11287,23,Tap & Barrel,8.8,"1055 Canada Pl, Vancouver BC V6C 0C3",413,2.0,0.9918233385820796,447.0,353.0
49.287214,-123.11287,23,Gastown Steam Clock,8.7,"305 Water St (at Cambie St), Vancouver BC V6B 1B8",423,,0.997514750241885,1262.0,496.0
49.287214,-123.11287,23,Cactus Club Cafe,8.7,"1085 Canada Pl, Vancouver BC V6C 0C6",428,3.0,0.9966800098651136,744.0,622.0
49.282409,-123.118541,2,Nespresso Boutique,8.6,"674 Granville St (at Georgia St), Vancouver BC V6C 1Z6",69,1.0,0.9695509476200412,70.0,32.0
49.282409,-123.118541,2,Hawksworth Restaurant,9.1,"801 Georgia St W (at Howe St), Vancouver BC V6C 1P7",125,4.0,0.9903246001783308,411.0,273.0
49.282409,-123.118541,2,Vancouver Art Gallery,8.6,"750 Hornby St (btwn Robson & W Georgia St.), Vancouver BC V6Z 2H7",146,,0.9961488114435316,1598.0,564.0
49.282409,-123.118541,2,Gotham Steakhouse & Cocktail Bar,9.2,"615 Seymour St (btwn Dunsmuir & W Georgia), Vancouver BC V6B 3K3",199,4.0,0.9869097531824476,167.0,175.0
49.282409,-123.118541,2,The Keg Steakhouse + Bar,8.7,"688 Dunsmuir St, Vancouver BC V6B 1N3",194,2.0,0.982280738365806,141.0,208.0
49.282409,-123.118541,2,Sephora,9.0,"701 Georgia St E (at Howe St.), Vancouver BC V6A 1Z9",210,,0.9955986416497504,37.0,79.0
49.282409,-123.118541,2,Commodore Ballroom,9.1,"838 Granville St (Btw Robson & Smithe), Vancouver BC V6Z 1K3",238,,0.9736487640151013,729.0,295.0
49.282409,-123.118541,2,Cafe Medina,9.0,"780 Richards St (btwn W Georgia & Robson), Vancouver BC V6B 3A4",238,2.0,0.9852402724289048,995.0,1116.0
49.282409,-123.118541,2,Kokoro Tokyo Mazesoba,8.8,"551 Seymour St, Vancouver BC V6B 3H6",268,1.0,0.97924531881391,90.0,40.0
49.282409,-123.118541,2,The Orpheum,8.8,"601 Smithe St (btwn Smithe & Robson), Vancouver BC V6B 3L4",282,,0.9875927225816244,625.0,211.0
49.287097,-123.118551,18,Cactus Club Cafe Bentall 5,8.3,"588 Burrard St (at Dunsmuir St), Vancouver BC V6C 0A8",163,2.0,0.9958832122327408,435.0,328.0
49.287097,-123.118551,18,Botanist,8.6,"1038 Canada Pl, Vancouver BC V6C 0B9",195,1.0,0.9814270266168352,127.0,69.0
49.287097,-123.118551,18,The Vancouver Club,8.5,"915 Hastings St W (btwn Hornby & Burrard), Vancouver BC V6C 1C6",228,,0.991576710743488,252.0,42.0
49.287097,-123.118551,18,Cactus Club Cafe,8.7,"1085 Canada Pl, Vancouver BC V6C 0C6",271,3.0,0.9966800098651136,744.0,622.0
49.287097,-123.118551,18,Jack Poole Plaza,9.0,"Vancouver Convention Ctr (at Thurlow St), Vancouver BC V6C 3E1",292,,0.9950484718559692,426.0,49.0
